year	paper-Name	author
	Engagement with Mental Health Screening on Mobile Devices: Results from an Antenatal Feasibility Study	Kevin Doherty, Trinity College Dublin;José Marcano Belisario, Imperial College London ;Martin Cohn, Imperial College London ;Nikolaos Mastellos, Imperial College London ;Cecily Morrison, Microsoft ;Josip Car, Imperial College London ;Gavin Doherty, Trinity College Dublin
	Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies	Alexis Hiniker, University of Washington;Jon E. Froehlich, University of Washington ;Mingrui Zhang, University of Washington ;Nikolaos Mastellos, University of Washington
	Unremarkable AI: Fitting Intelligent Decision Support into Critical, Clinical Decision-Making Processes	Qian Yang, Carnegie Mellon University;Aaron Steinfeld, Carnegie Mellon University ;John Zimmerman, Carnegie Mellon University
	Online grocery delivery services: An opportunity to address food disparities in transportation-scarce areas	Tawanna Dillahunt, University of Michigan;Sylvia Simioni, University of Michigan ;Xuecong Xu, University of Michigan
	Voice User Interfaces in Schools: Co-designing for Inclusion With Visually-Impaired and Sighted Pupils	Oussama Metatla, University of Bristol;Alison Oldfield, University of Bristol ;Taimur Ahmed, University of Bristol ;Antonis Vafeas, University of Bristol ;Sunny Miglani, University of Bristol
	Increasing the Transparency of Research Papers with Explorable Multiverse Analyses	Pierre Dragicevic, Inria;Yvonne Jansen, CNRS - Sorbonne Université ;Abhraneel Sarma, University of Michigan ;Matthew Kay, University of Michigan ;Fanny Chevalier, University of Toronto
	Geppetto: Enabling Semantic Design of Expressive Robot Behaviors	Ruta Desai, Carnegie Mellon University;Fraser Anderson, Autodesk ;Justin Matejka, Autodesk ;Stelian Coros, ETH Zurich ;James L. McCann, Carnegie Mellon University ;George Fitzmaurice, Autodesk ;Tovi Grossman, Autodesk
	Project Sidewalk: A Web-based Crowdsourcing Tool for Collecting Sidewalk Accessibility Data At Scale	Manaswi Saha, University of Washington;Michael Saugstad, University of Washington ;Hanuma Teja Maddali, University of Maryland ;Aileen Zeng, University of Washington ;Ryan Holland, Montgomery Blair High School ;Steven Bower, University of Maryland ;Aditya Dash, University of Maryland ;Sage Chen, University of Michigan ;Anthony Li, University of Maryland ;Kotaro Hara, Singapore Management University ;Jon E. Froehlich, University of Washington
	Touchstone2: An Interactive Environment for Exploring Trade-offs in HCI Experiment Design	Alexander Eiselmayer, University of Zurich;Chat Wacharamanotham, University of Zurich ;Michel Beaudouin-Lafon, University of Paris-Sud ;Wendy E Mackay, University of Paris-Sud
	AffinityLens: Data-Assisted Affinity Diagramming with Augmented Reality	Hariharan Subramonyam, University of Michigan;Steven Mark Drucker, Microsoft ;Eytan Adar, University of Michigan
	A Translational Science Model for HCI	Lucas Colusso, University of Washington;Ridley Jones, University of Washington ;Sean A. Munson, University of Washington ;Gary Hsieh, University of Washington
	A Tale of Two Perspectives: A Conceptual Framework of User Expectations and Experiences of Instructional Fitness Apps	Ahed Aladwan, University of Melbourne;Ryan M Kelly, University of Melbourne ;Steven Baker, University of Melbourne ;Eduardo Velloso, University of Melbourne
	Street-Level Algorithms: A Theory At The Gaps Between Policy and Decisions	Ali Alkhatib & Michael Bernstein, Stanford University
	Risk vs. Restriction: The Tension between Providing a Sense of Normalcy and Keeping Foster Teens Safe Online	Karla A. Badillo-Urquiola, University of Central Florida;Xinru Woo Page, Bentley University ;Pamela J. Wisniewski, University of Central Florida
	Protection, Productivity and Pleasure in the Smart Home: Emerging Expectations and Gendered Insights from Australian Early Adopters	Yolande A. A. Strengers, Monash University;Jenny Kennedy, RMIT University ;Paula Arcari, RMIT University ;Larissa Nicholls, RMIT University ;Melissa Gregg, Intel
	Detecting Personality Traits Using Eye-Tracking Data	Shlomo Berkovsky, CSIRO's Data61;Ronnie Taib, CSIRO's Data61 ;Irena Koprinska, University of Sydney ;Eileen Wang, University of Sydney ;Yucheng Zeng, University of Sydney ;Jingjie Li, University of Wisconsin–Madison ;Sabina Kleitman, University of Sydney
	ReType: Quick Text Editing with Keyboard and Gaze	Shyamli Sindhwani, University of Auckland;Christof Lutteroth, University of Bath ;Gerald Weber, University of Auckland
	Data is Personal: Attitudes and Perceptions of Data Visualization in Rural Pennsylvania	Shyamli Sindhwani, University of Auckland;Christof Lutteroth, University of Bath ;Gerald Weber, University of Auckland
	PicMe: Interactive Visual Guidance for Taking Requested Photo Composition	Minju Kim, KAIST ;Jungjin Lee, KAI Inc
	Managing Messes in Computational Notebooks	Andrew Head, University of California, Berkeley;Titus Barik, Microsoft ;Fred Hohman, Georgia Institute of Technology ;Steven Mark Drucker, Microsoft ;Robert DeLine, Microsoft
	A Framework for the Experience of Meaning in Human-Computer Interaction	Elisa D Mekler, Aalto University ;Kasper Hornbæk, University of Copenhagen
	Managerial Visions: Stories of Upgrading and Maintaining the Public Restroom with IoT	Sarah E. Fox, University of California, San Diego;Kiley Sobel, University of Washington ;Daniela K. Rosner, University of Washington
	Social Play in an Exergame: How the Need to Belong Predicts Adherence	Maximus D Kaos, Queen's University;Ryan E Rhodes, University of Victoria ;Perttu Hamalainen, Aalto University ;T. C. Nicholas Graham, Queen's University
	Think secure from the beginning': A Survey with Software Developers	Hala Assal & Sonia Chiasson, Carleton University
	"They Don't Leave Us Alone Anywhere We Go": Gender and Digital Abuse in South Asia	Nithya Sambasivan, Google;Amna Batool, Information Technology University ;Nova Ahmed, North South University ;Tara Lynn Matthews, Independent Researcher ;Kurt Thomas, Google ;Laura Sanely Gaytan-Lugo, University of Colima ;Elie Bursztein, Google ;Elizabeth F. Churchill, Google ;Sunny Consolvo, Google
2018	Agile 3D Sketching with Air Scaffolding	Yongkwan Kim, KAIST;Sang-Gyun An, KAIST ;Joon Hyub Lee, KAIST ;Seok-Hyung Bae, KAIST
	Pinpointing: Precise Head- and Eye-Based Target Selection for Augmented Reality	Mikko Kytö, Aalto University;Barrett Ens, University of South Australia ;Thammathip Piumsomboon, University of South Australia ;Gun A. Lee, University of South Australia ;Mark Billinghurst, University of South Australia
	Data Illustrator: Augmenting Vector Design Tools with Lazy Data Binding for Expressive Visualization Authoring	Zhicheng Liu, Adobe;John Thompson, Georgia Institute of Technology ;Alan Wilson, Adobe Systems Inc. ;Mira Dontcheva, Adobe ;James Delorey, Adobe Systems Inc. ;Sam Grigg, Adobe Systems Inc. ;Bernard Kerr, Adobe Systems Inc. ;John Stasko, Georgia Institute of Technology
	"A Stalker's Paradise": How Intimate Partner Abusers Exploit Technology	Diana Freed, Cornell University;Jackeline Palmer, Hunter College ;Diana Minchala, City College of New York ;Karen Levy, Cornell University ;Thomas Ristenpart, Cornell University ;Nicola Dell, Cornell University
	Keeping a Low Profile? Technology, Risk and Privacy among Undocumented Immigrants	Tamy Guberek, University of Michigan;Allison McDonald, University of Michigan ;Sylvia Simioni, University of Michigan ;Abraham H. Mhaidli, University of Michigan ;Kentaro Toyama, University of Michigan ;Florian Schaub, University of Michigan
	Streets for People: Engaging Children in Placemaking Through a Socio-technical Process	Sean Peacock, Newcastle University;Robert Anderson, Newcastle University ;Clara Crivellaro, Newcastle University
	Addressing Age-Related Bias in Sentiment Analysis	Mark Diaz, Northwestern University;Isaac Johnson, Northwestern University ;Amanda Lazar, University of Maryland ;Anne Marie Piper, Northwestern University ;Darren Gergle, Northwestern University
	From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland	Lydia Michie, Newcastle University;Madeline Balaam, Royal Institute of Technology ;John McCarthy, University College Cork ;Timur Osadchiy, Newcastle University ;Kellie Morrissey, Newcastle University
	Gender Recognition or Gender Reductionism?: The Social Implications of Embedded Gender Recognition Systems	Foad Hamidi, University of Maryland;Morgan Klaus Scheuerman, University of Maryland ;Stacy M. Branham, University of Maryland
	How Relevant are Incidental Power Poses for HCI?	Yvonne Jansen, Sorbonne University ;Kasper Hornbæk, University of Copenhagen
	Voice Interfaces in Everyday Life	Martin Porcheron, University of Nottingham;Joel E. Fischer, University of Nottingham ;Stuart Reeves, University of Nottingham ;Sarah Sharples, University of Nottingham
	Examining Wikipedia With a Broader Lens: Quantifying the Value of Wikipedia's Relationships with Other Large-Scale Online Communities	Nicholas Vincent, Northwestern University;Isaac Johnson, Northwestern University ;Brent Hecht, Northwestern University
	Let's Talk About Race: Identity, Chatbots, and AI	Ari Schlesinger, Georgia Institute of Technology;Kenton P. O'Hara, Microsoft ;Alex S. Taylor, City, University of London
	Semi-Automated Coding for Qualitative Research: A User-Centered Inquiry and Initial Prototypes	Megh Marathe & Kentaro Toyama, University of Michigan
	Wall++: Room-Scale Interactive and Context-Aware Sensing	Yang Zhang, Carnegie Mellon University;Chouchang (Jack) Yang, Disney Research ;Scott E. Hudson, Carnegie Mellon University ;Chris Harrison, Carnegie Mellon University ;Alanson Sample, Disney Research
	HARK No More: On the Preregistration of CHI Experiments	Andy Cockburn, University of Canterbury;Carl Gutwin, University of Saskatchewan ;Alan Dix, University of Birmingham
	Making as Expression: Informing Design with People with Complex Communication Needs through Art Therapy	Amanda Lazar, University of Maryland;Jessica L. Feuston, Northwestern University ;Caroline Edasis, Mather LifeWays ;Anne Marie Piper, Northwestern University
	Expressive Time Series Querying with Hand-Drawn Scale-Free Sketches	Miro Mannino & Azza Abouzied, New York University
	Project Zanzibar: A Portable and Flexible Tangible Interaction Platform	Nicolas Villar, Microsoft;Daniel Cletheroe, Microsoft ;Greg Saul, Microsoft ;Christian Holz, Microsoft ;Tim Regan, Microsoft ;Oscar Salandin, Microsoft ;Misha Sra, Microsoft ;Hui-Shyong Yeo, Microsoft ;William Field, Microsoft ;Haiyan Zhang, Microsoft
	Experiencing the Body as Play	Florian 'Floyd' Mueller, RMIT University;Richard Byrne, RMIT University ;Josh Andres, RMIT University ;Rakesh Patibanda, RMIT University
	Making Core Memory: Design Inquiry into Gendered Legacies of Engineering and Craftwork	Daniela K. Rosner, University of Washington;Samantha Shorey, University of Washington ;Brock R. Craft, University of Washington ;Helen Remick, Independent Researcher
	Design for Collaborative Survival: An Inquiry into Human-Fungi Relationships	Jen Liu, University of Colorado Boulder;Daragh Byrne, Carnegie Mellon University ;Laura Devendorf, University of Colorado Boulder
	Design Within a Patriarchal Society: Opportunities and Challenges in Designing for Rural Women in Bangladesh	Sharifa Sultana, Cornell University;François Guimbretière, Cornell University ;Phoebe Sengers, Cornell University ;Nicola Dell, Cornell University
	Hoarding and Minimalism: Tendencies in Digital Data Preservation	Francesco Vitale, University of British Columbia;Izabelle Janzen, University of British Columbia ;Joanna McGrenere, University of British Columbia
	Extending Manual Drawing Practices with Artist-Centric Programming Tools	Jennifer Jacobs, Massachusetts Institute of Technology;Joel Brandt, Adobe ;Radomír Mech, Adobe ;Mitchel Resnick, Massachusetts Institute of Technology
2017	Kinecting with Orangutans: Zoo Visitors' Empathetic Responses to Animals' Use of Interactive Technology	Sarah Webber, University of Melbourne;Marcus Carter, University of Melbourne ;Sally Sherwen, Zoos Victoria ;Wally Smith, University of Melbourne ;Zaher Joukhadar, University of Melbourne ;Frank Vetere, University of Melbourne
	Organic Primitives: Synthesis and Design of pH-Reactive Materials using Molecular I/O for Sensing, Actuation, and Interaction	Viirj Kan, Massachusetts Institute of Technology;Emma Vargo, Massachusetts Institute of Technology ;Noa Machover, Massachusetts Institute of Technology ;Hiroshi Ishii, Massachusetts Institute of Technology ;Serena Pan, Massachusetts Institute of Technology ;Weixuan Chen, Massachusetts Institute of Technology ;Yasuaki Kakehi, Keio University
	Understanding Public Evaluation: Quantifying Experimenter Intervention	Julie R. Williamson & John Williamson, University of Glasgow
	Designing Gamified Applications that Make Safe Driving More Engaging	Fabius Steinberger, Queensland University of Technology;Ronald Schroeter, Queensland University of Technology ;Marcus Foth, Queensland University of Technology ;Daniel Johnson, Queensland University of Technology
	Illumination Aesthetics: Light as a Creative Material within Computational Design	Cesar Torres, University of California, Berkeley;Jasper O'Leary, University of California, Berkeley ;Molly Nicholas, University of California, Berkeley ;Eric Paulos, University of California, Berkeley
	Empowered participation: How Citizens Use Technology in Local Governance	Sheena Erete, DePaul University ;Jennifer O. Burrell, MadX LLC
	Stories from Survivors: Privacy & Security Practices when Coping with Intimate Partner Abuse	Tara Matthews, Google;Kathleen O'Leary, University of Washington ;Anna Turner, Google ;Manya Sleeper, Google ;Jill Palzkill Woelfer, Google ;Martin Shelton, Google ;Cori Manthorne, Community Overcoming Relationship Abuse ;Elizabeth F. Churchill, Google ;Sunny Consolvo, Google
